RowID,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
166,Haryana,PANCHKULA,2005,Rabi,Other  Rabi pulses,7000,4000
167,Tamil Nadu,DINDIGUL,2011,Kharif,Groundnut,9461,17197
168,Madhya Pradesh,JABALPUR,2011,Whole Year,Garlic,17,87
169,Madhya Pradesh,DATIA,2019,Rabi,Rapeseed &Mustard,16032,13608
170,Assam,UDALGURI,2022,Kharif,Tapioca,297,2820
171,West Bengal,DARJEELING,2014,Rabi,Safflower,5,3
172,Odisha,JAGATSINGHAPUR,2016,Winter,Horse-gram,806,378.8
173,Uttar Pradesh,JHANSI,2020,Kharif,Sesamum,106791,23067
174,Assam,DHUBRI,2015,Kharif,Maize,95,56
175,Uttar Pradesh,KANNAUJ,2020,Kharif,Rice,17275,52257
176,Odisha,CUTTACK,2013,Winter,Rapeseed &Mustard,254,38.9
177,Punjab,HOSHIARPUR,2012,Kharif,Urad,400,100
178,Maharashtra,AKOLA,2010,Whole Year,Sugarcane,400,28000
179,Puducherry,PONDICHERRY,2022,Summer,Ragi,32,58
180,Jharkhand,PAKUR,2013,Autumn,Maize,2459.7,2115.34
181,Madhya Pradesh,BALAGHAT,2018,Whole Year,Banana,4,190
182,Tamil Nadu,VIRUDHUNAGAR,2015,Whole Year,Small millets,1841,963
183,Himachal Pradesh,CHAMBA,2018,Rabi,Barley,3756,3925
184,Haryana,PANCHKULA,2020,Rabi,Wheat,16823,59000
185,Rajasthan,JAISALMER,2012,Kharif,Jowar,4077,1892
186,Rajasthan,CHURU,2011,Kharif,Jowar,3,2
187,Tamil Nadu,THENI,2010,Kharif,Korra,37,16
188,Madhya Pradesh,SHEOPUR,2006,Rabi,Linseed,2600,1200
189,Assam,UDALGURI,2015,Whole Year,Onion,305,762
190,Tamil Nadu,COIMBATORE,2008,Whole Year,Tobacco,601,1040
191,Bihar,KATIHAR,2016,Whole Year,Turmeric,11,14
192,West Bengal,24 PARAGANAS SOUTH,2019,Rabi,Potato,7969,188767
193,Telangana,MEDAK,2011,Whole Year,Coriander,3011,825
194,Odisha,SONEPUR,2013,Winter,Potato,30,169.1
195,Assam,KARBI ANGLONG,2015,Whole Year,Dry ginger,1894,13321
196,Madhya Pradesh,SEHORE,2006,Kharif,Rice,1700,1200
197,Uttar Pradesh,BAGHPAT,2010,Kharif,Moong(Green Gram),6,4
198,Uttar Pradesh,JAUNPUR,2006,Whole Year,Tobacco,130,806
199,Uttar Pradesh,ETAWAH,2007,Whole Year,Peas & beans (Pulses),4353,8614
200,Haryana,YAMUNANAGAR,2015,Whole Year,Onion,425,11400
201,Assam,UDALGURI,2021,Rabi,Ginger,629,6208
202,Madhya Pradesh,CHHINDWARA,2016,Kharif,Cotton(lint),28144,15998
203,Maharashtra,JALNA,2020,Kharif,Urad,10400,1500
204,Bihar,SARAN,2020,Winter,Rice,70129,164814
205,Maharashtra,SANGLI,2012,Rabi,Wheat,29400,50200
206,Bihar,BEGUSARAI,2013,Summer,Moong(Green Gram),534,327
207,Chhattisgarh,MAHASAMUND,2014,Whole Year,Onion,219,958
208,Madhya Pradesh,BHOPAL,2020,Kharif,Maize,2590,5845
209,Madhya Pradesh,ALIRAJPUR,2017,Whole Year,Maize,38269,34443
210,Uttar Pradesh,UNNAO,2016,Rabi,Wheat,232176,686542
211,Rajasthan,SAWAI MADHOPUR,2016,Rabi,other oilseeds,1332,487
212,Uttarakhand,PAURI GARHWAL,2011,Kharif,Soyabean,370,341
213,Rajasthan,BARMER,2018,Rabi,Wheat,16732,24526
214,Madhya Pradesh,PANNA,2020,Kharif,Rice,63640,64908
215,Karnataka,RAMANAGARA,2016,Summer,Maize,146,459
216,Odisha,NABARANGPUR,2012,Autumn,Ragi,4504,2031.3
217,Gujarat,DOHAD,2013,Kharif,Jowar,400,400
218,Assam,LAKHIMPUR,2009,Rabi,Urad,1345,568
219,Odisha,MALKANGIRI,2007,Rabi,Castor seed,360,160
220,Chhattisgarh,JASHPUR,2009,Kharif,Sunflower,5,1
221,Karnataka,RAICHUR,2017,Kharif,Bajra,55935,24202
222,Karnataka,CHITRADURGA,2011,Kharif,Jowar,7564,10694
223,Bihar,JEHANABAD,2015,Rabi,Peas & beans (Pulses),419,451
224,Kerala,THIRUVANANTHAPURAM,2021,Whole Year,Mango,4840,28582
225,Bihar,MADHUBANI,2022,Kharif,Sesamum,186,167
226,Gujarat,RAJKOT,2013,Rabi,Wheat,73700,268700
227,Uttar Pradesh,MATHURA,2017,Kharif,Jowar,10,9
228,Rajasthan,BARAN,2015,Rabi,Barley,396,857
229,Chhattisgarh,DURG,2008,Rabi,Barley,4,2
230,Odisha,MAYURBHANJ,2011,Whole Year,Dry chillies,1080,950
231,Manipur,BISHNUPUR,2013,Whole Year,Dry chillies,540,320
232,Maharashtra,AKOLA,2022,Rabi,Wheat,18300,25800
233,Bihar,SAHARSA,2006,Rabi,Linseed,1035,791
234,Gujarat,BANAS KANTHA,2005,Kharif,Jowar,4500,100
235,Rajasthan,CHITTORGARH,2016,Whole Year,Guar seed,5202,5203
236,Bihar,KISHANGANJ,2018,Kharif,Sesamum,244,192
237,Rajasthan,SIROHI,2007,Whole Year,Coriander,4,2
238,Madhya Pradesh,GWALIOR,2015,Rabi,Wheat,67870,111365
239,West Bengal,DINAJPUR UTTAR,2018,Winter,Rice,177585,467258
240,Maharashtra,AKOLA,2005,Rabi,Wheat,20900,21800
241,Uttar Pradesh,AZAMGARH,2010,Kharif,Small millets,112,121
242,Assam,KARBI ANGLONG,2014,Whole Year,Turmeric,578,465
243,Mizoram,LUNGLEI,2012,Kharif,Maize,1161,2287
244,Rajasthan,UDAIPUR,2010,Rabi,Linseed,2,1
245,Haryana,PALWAL,2020,Rabi,Wheat,96044,442000
246,Andhra Pradesh,GUNTUR,2006,Rabi,Sesamum,6000,2700
247,Haryana,SIRSA,2019,Kharif,Castor seed,2074,900
248,Tamil Nadu,VIRUDHUNAGAR,2013,Kharif,Moong(Green Gram),11393,3109
249,Chhattisgarh,BILASPUR,2016,Kharif,Moong(Green Gram),90,20
250,Uttar Pradesh,SONBHADRA,2017,Summer,Urad,1,1
251,Bihar,NALANDA,2008,Kharif,Sesamum,32,18
252,Gujarat,KHEDA,2020,Rabi,Wheat,86000,223500
253,Madhya Pradesh,SHAHDOL,2007,Whole Year,Coriander,120,29
254,Assam,NALBARI,2017,Whole Year,Dry chillies,300,215
255,Rajasthan,AJMER,2008,Rabi,Peas & beans (Pulses),56,93
